Lap	LapSplit	RaceTime	ByTheCamera	Notes
0	00:00:00	00:00:00	00:00:22	
1	00:31:47	00:31:47	00:32:18	
2	00:31:45	01:03:33	01:04:22	
3	00:32:06	01:35:39	01:35:55	
4	00:32:00	02:07:39	02:12:20	Foot Care
5	00:37:59	02:45:38	02:46:42	
6	00:24:17	03:09:56	03:10:14	
7	00:29:42	03:39:39	03:43:00	
8	00:31:18	04:10:57	04:16:58	Foot Care
9	00:39:54	04:50:52	04:51:45	
10	00:38:28	05:29:21	05:29:39	Wally
11	00:29:19	05:58:40	05:59:01	
12	00:32:22	06:31:02	06:32:15	
13	00:30:29	07:01:32	07:11:11	Foot Care
14	00:33:42	07:35:15	07:35:55	
15	00:31:27	08:06:42	08:08:01	
16	00:32:53	08:39:35	08:41:39	
17	00:30:51	09:10:27	09:13:11	
18	00:35:44	09:46:12	09:51:30	Foot Care
19	00:36:08	10:22:20	10:25:20	Bathroom
20	00:38:31	11:00:51	11:01:09	
21	00:32:02	11:32:54	11:33:28	
22	00:37:07	12:10:01	12:14:23	Foot Care
23	00:40:14	12:50:15	12:51:57	
24	00:38:28	13:28:43	13:30:31	
25	00:31:34	14:00:18	14:00:11	
26	00:28:59	14:29:18	14:29:20	
27	00:36:56	15:06:14	15:54:00	Foot Care, Nap
28	01:29:59	16:36:13	16:39:51	Foot Care
29	00:39:48	17:16:02	17:19:51	Foot Care
30	00:33:47	17:49:49	17:51:08	
31	00:31:31	18:21:21	18:22:09	
32	00:33:54	18:55:15	18:55:45	
33	00:35:06	19:30:22	19:43:50	Foot Care
34	00:44:24	20:14:47	20:15:05	
35	00:35:13	20:50:00	20:51:22	
36	00:39:09	21:29:10	21:31:13	
37	00:36:27	22:05:37	22:07:22	
38	00:36:05	22:41:42	22:42:01	
39	00:36:59	23:18:42	23:20:26	
40	00:34:07	23:52:50	25:15:49	Nap, Foot Care
41	01:58:09	25:50:59	25:51:21	
42	00:35:58	26:26:57	26:27:25	
43	00:35:29	27:02:27	27:15:03	Cheesburger, Foot Care
44	00:50:36	27:53:04	27:53:54	
45	00:40:28	28:33:32	28:40:45	
46	00:45:00	29:18:32	29:19:15	
47	00:37:26	29:55:59	30:09:44	Foot Elevation
48	00:52:22	30:48:21	30:49:15	
49	00:53:11	31:41:33	31:54:01	Hot Dogs, Foot Care
50	00:52:16	32:33:49	32:37:51	Got Hooded Sweatshirt
51	00:39:36	33:13:26	33:15:31	
52	00:37:56	33:51:23	36:52:00	Nap
53	03:39:15	37:30:38	37:31:07	
54	00:31:35	38:02:14	38:02:31	
55	00:34:26	38:36:40	38:37:35	
56	00:34:50	39:11:31	39:12:24	
57	00:38:52	39:50:23	39:58:15	Unknown Dark
58	00:49:41	40:40:04	40:41:30	
59	00:37:52	41:17:57	41:30:11	Foot Elevation, shorts change
60	00:43:17	42:01:15	42:04:44	Bathroom
61	00:34:48	42:36:03	42:41:30	Foot Care
62	00:34:26	43:10:30	43:12:30	Bathroom
63	00:42:38	43:53:09	44:00:33	
64	00:45:26	44:38:35	44:53:40	Foot Elevation	
65	00:48:19	45:26:54	45:28:00	
66	00:33:27	46:00:22	46:02:15	
67	00:36:16	46:36:38	46:38:05	
68	00:33:14	47:09:53	47:10:10	
69	00:33:49	47:43:42	48:36:00	Relax, Foot Elevation
70	01:30:28	49:14:11	49:14:30	
71	00:38:02	49:52:13	50:09:45	Relax, Foot Elevation
72	00:55:09	50:47:22	50:49:00	
73	00:38:44	51:26:06	51:26:46	
74	00:37:34	52:03:41	52:28:10	Relax, Foot Elevation
75	01:08:17	53:11:58	53:15:11	
76	00:43:14	53:55:13	53:58:00	Bathroom
77	00:40:16	54:35:30	54:39:40	
78	00:44:50	55:20:20	55:24:55	Waiting
79	00:43:24	56:03:45	56:10:30	Waiting
80	00:49:02	56:52:48	56:53:49	
81	00:42:26	57:35:14	57:43:00	Waiting
82	00:53:54	58:29:08	58:29:40	
83	00:44:13	59:13:22	59:27:00	Waiting
84	01:02:42	60:16:05	60:24:44	Waiting
85	01:02:37	61:18:42	66:36:40	Nap
86	05:53:06	67:11:49	67:12:55	
87	00:40:25	67:52:14	67:57:01	Wally
88	00:52:01	68:44:16	69:00:00	Wally, final lap
89	01:01:48	69:46:04	69:46:04	
