lat,long,extra 
40.715,-73.795,0
40.715,-73.805,0
40.775,-73.765,0
40.775,-73.775,0
40.995,-73.645,0
40.995,-73.655,0
41.005,-73.645,0
41.005,-73.655,0
41.005,-73.665,0
41.015,-73.565,0
41.015,-73.615,0
41.015,-73.625,0
41.015,-73.635,0
41.015,-73.645,0
41.015,-73.655,0
41.025,-73.555,0
41.025,-73.565,0
41.025,-73.575,0
41.025,-73.585,0
41.025,-73.595,0
41.025,-73.605,0
41.025,-73.615,0
41.025,-73.625,0
41.025,-73.635,0
41.025,-73.645,0
41.025,-73.655,0
41.025,-73.665,0
41.025,-73.675,0
41.035,-73.475,0
41.035,-73.525,0
41.035,-73.535,0
41.035,-73.545,0
41.035,-73.555,0
41.035,-73.565,0
41.035,-73.575,0
41.035,-73.585,0
41.035,-73.595,0
41.035,-73.605,0
41.035,-73.615,0
41.035,-73.625,0
41.035,-73.635,0
41.035,-73.645,0
41.035,-73.655,0
41.035,-73.665,0
41.035,-73.675,0
41.045,-73.475,0
41.045,-73.485,0
41.045,-73.505,0
41.045,-73.515,0
41.045,-73.525,0
41.045,-73.535,0
41.045,-73.545,0
41.045,-73.555,0
41.045,-73.565,0
41.045,-73.575,0
41.045,-73.585,0
41.045,-73.595,0
41.045,-73.605,0
41.045,-73.615,0
41.045,-73.625,0
41.045,-73.635,0
41.045,-73.645,0
41.045,-73.655,0
41.045,-73.665,0
41.045,-73.675,0
41.045,-73.685,0
41.055,-73.475,0
41.055,-73.485,0
41.055,-73.495,0
41.055,-73.505,0
41.055,-73.515,0
41.055,-73.525,0
41.055,-73.535,0
41.055,-73.555,0
41.055,-73.565,0
41.055,-73.575,0
41.055,-73.585,0
41.055,-73.605,0
41.055,-73.615,0
41.055,-73.625,0
41.055,-73.635,0
41.055,-73.645,0
41.055,-73.655,0
41.055,-73.665,0
41.055,-73.675,0
41.055,-73.685,0
41.055,-73.695,0
41.065,-73.435,0
41.065,-73.445,0
41.065,-73.475,0
41.065,-73.485,0
41.065,-73.495,0
41.065,-73.505,0
41.065,-73.535,0
41.065,-73.545,0
41.065,-73.555,0
41.065,-73.565,0
41.065,-73.575,0
41.065,-73.585,0
41.065,-73.615,0
41.065,-73.625,0
41.065,-73.635,0
41.065,-73.645,0
41.065,-73.655,0
41.065,-73.675,0
41.065,-73.695,0
41.075,-73.425,0
41.075,-73.435,0
41.075,-73.445,0
41.075,-73.455,0
41.075,-73.465,0
41.075,-73.475,0
41.075,-73.485,0
41.075,-73.495,0
41.075,-73.505,0
41.075,-73.515,0
41.075,-73.545,0
41.075,-73.555,0
41.075,-73.575,0
41.075,-73.585,0
41.075,-73.595,0
41.075,-73.605,0
41.075,-73.615,0
41.075,-73.625,0
41.075,-73.635,0
41.075,-73.645,0
41.075,-73.655,0
41.075,-73.665,0
41.075,-73.675,0
41.075,-73.685,0
41.075,-73.695,0
41.075,-73.705,0
41.085,-73.415,0
41.085,-73.425,0
41.085,-73.455,0
41.085,-73.465,0
41.085,-73.475,0
41.085,-73.485,0
41.085,-73.505,0
41.085,-73.515,0
41.085,-73.545,0
41.085,-73.555,0
41.085,-73.565,0
41.085,-73.575,0
41.085,-73.585,0
41.085,-73.595,0
41.085,-73.605,0
41.085,-73.625,0
41.085,-73.635,0
41.085,-73.645,0
41.085,-73.665,0
41.085,-73.685,0
41.085,-73.695,0
41.085,-73.705,0
41.085,-73.715,0
41.085,-73.725,0
41.095,-73.415,0
41.095,-73.455,0
41.095,-73.465,0
41.095,-73.475,0
41.095,-73.485,0
41.095,-73.505,0
41.095,-73.515,0
41.095,-73.525,0
41.095,-73.535,0
41.095,-73.545,0
41.095,-73.555,0
41.095,-73.565,0
41.095,-73.575,0
41.095,-73.585,0
41.095,-73.595,0
41.095,-73.605,0
41.095,-73.625,0
41.095,-73.635,0
41.095,-73.645,0
41.095,-73.655,0
41.095,-73.665,0
41.095,-73.675,0
41.095,-73.685,0
41.095,-73.695,0
41.095,-73.705,0
41.095,-73.715,0
41.095,-73.725,0
41.105,-73.335,0
41.105,-73.345,0
41.105,-73.355,0
41.105,-73.365,0
41.105,-73.375,0
41.105,-73.385,0
41.105,-73.395,0
41.105,-73.405,0
41.105,-73.415,0
41.105,-73.445,0
41.105,-73.455,0
41.105,-73.465,0
41.105,-73.485,0
41.105,-73.495,0
41.105,-73.505,0
41.105,-73.515,0
41.105,-73.535,0
41.105,-73.545,0
41.105,-73.555,0
41.105,-73.565,0
41.105,-73.585,0
41.105,-73.595,0
41.105,-73.625,0
41.105,-73.635,0
41.105,-73.645,0
41.105,-73.655,0
41.105,-73.665,0
41.105,-73.675,0
41.105,-73.685,0
41.105,-73.695,0
41.105,-73.705,0
41.105,-73.725,0
41.115,-73.265,0
41.115,-73.305,0
41.115,-73.315,0
41.115,-73.325,0
41.115,-73.335,0
41.115,-73.345,0
41.115,-73.355,0
41.115,-73.365,0
41.115,-73.375,0
41.115,-73.385,0
41.115,-73.395,0
41.115,-73.405,0
41.115,-73.415,0
41.115,-73.425,0
41.115,-73.455,0
41.115,-73.465,0
41.115,-73.485,0
41.115,-73.495,0
41.115,-73.505,0
41.115,-73.515,0
41.115,-73.545,0
41.115,-73.555,0
41.115,-73.575,0
41.115,-73.585,0
41.115,-73.595,0
41.115,-73.615,0
41.115,-73.625,0
41.115,-73.635,0
41.115,-73.645,0
41.115,-73.655,0
41.115,-73.665,0
41.115,-73.695,0
41.115,-73.705,0
41.125,-73.245,0
41.125,-73.255,0
41.125,-73.265,0
41.125,-73.275,0
41.125,-73.285,0
41.125,-73.295,0
41.125,-73.305,0
41.125,-73.315,0
41.125,-73.325,0
41.125,-73.335,0
41.125,-73.345,0
41.125,-73.355,0
41.125,-73.365,0
41.125,-73.375,0
41.125,-73.385,0
41.125,-73.395,0
41.125,-73.405,0
41.125,-73.415,0
41.125,-73.425,0
41.125,-73.435,0
41.125,-73.445,0
41.125,-73.455,0
41.125,-73.465,0
41.125,-73.475,0
41.125,-73.485,0
41.125,-73.495,0
41.125,-73.505,0
41.125,-73.515,0
41.125,-73.525,0
41.125,-73.535,0
41.125,-73.545,0
41.125,-73.555,0
41.125,-73.575,0
41.125,-73.585,0
41.125,-73.595,0
41.125,-73.605,0
41.125,-73.615,0
41.125,-73.625,0
41.125,-73.635,0
41.125,-73.645,0
41.125,-73.655,0
41.125,-73.665,0
41.125,-73.675,0
41.135,-73.235,0
41.135,-73.245,0
41.135,-73.255,0
41.135,-73.265,0
41.135,-73.275,0
41.135,-73.285,0
41.135,-73.295,0
41.135,-73.305,0
41.135,-73.315,0
41.135,-73.325,0
41.135,-73.335,0
41.135,-73.345,0
41.135,-73.355,0
41.135,-73.365,0
41.135,-73.375,0
41.135,-73.385,0
41.135,-73.395,0
41.135,-73.405,0
41.135,-73.415,0
41.135,-73.425,0
41.135,-73.435,0
41.135,-73.445,0
41.135,-73.455,0
41.135,-73.465,0
41.135,-73.475,0
41.135,-73.485,0
41.135,-73.495,0
41.135,-73.505,0
41.135,-73.535,0
41.135,-73.545,0
41.135,-73.555,0
41.135,-73.565,0
41.135,-73.575,0
41.135,-73.585,0
41.135,-73.595,0
41.135,-73.605,0
41.135,-73.625,0
41.135,-73.635,0
41.135,-73.655,0
41.135,-73.665,0
41.135,-73.915,0
41.135,-73.925,0
41.145,-73.125,0
41.145,-73.135,0
41.145,-73.225,0
41.145,-73.235,0
41.145,-73.245,0
41.145,-73.255,0
41.145,-73.265,0
41.145,-73.275,0
41.145,-73.285,0
41.145,-73.295,0
41.145,-73.305,0
41.145,-73.315,0
