city_id,town_name,coverage_percent,success,error
171373,Bloomfield,11.27,True,
171374,Burlington,13.27,True,
171375,Avon,6.05,True,
171376,Bristol,6.24,True,
171377,Canton,10.42,True,
171378,Farmington,8.36,True,
171379,New Britain,6.34,True,
171380,Newington,11.38,True,
171381,Plainville,11.48,True,
171382,Simsbury,10.44,True,
171383,Southington,9.48,True,
171384,Stratford,25.22,True,
171385,West Hartford,8.18,True,
187793,Windsor,9.65,True,
187813,Wethersfield,22.75,True,
187814,Berlin,12.96,True,
187816,Enfield,25.08,True,
187862,Manchester,10.32,True,
187863,Suffield,18.29,True,
187867,Cheshire,7.59,True,
187868,Cromwell,11.7,True,
187869,East Hampton,16.38,True,
187870,Glastonbury,11.68,True,
187871,Naugatuck,19.01,True,
187872,New Canaan,20.29,True,
187873,Oxford,23.97,True,
187874,Preston,15.97,True,
187875,Seymour,22.53,True,
187876,Southbury,24.7,True,
187877,Vernon,8.11,True,
187878,Wilton,12.14,True,
187879,Woodbridge,32.51,True,
187881,Somers,22.6,True,
187890,Griswold,14.42,True,
187891,Lisbon,10.14,True,
187903,Tolland,11.31,True,
187916,Windsor Locks,6.75,True,
187917,East Granby,15.71,True,
187921,Granby,8.56,True,
187922,East Hartford,6.62,True,
187924,Ansonia,16.13,True,
187925,Shelton,28.5,True,
187926,Derby,37.14,True,
187927,Milford,44.67,True,
187928,Madison,9.84,True,
187929,Guilford,9.04,True,
187930,Branford,11.57,True,
187931,North Branford,22.82,True,
187932,Middlebury,33.01,True,
187933,Beacon Falls,36.8,True,
187934,Bethany,33.33,True,
187935,Prospect,16.67,True,
187936,Wolcott,23.17,True,
187937,Bridgeport,14.12,True,
187938,Trumbull,44.43,True,
187939,Newtown,22.2,True,
187940,Monroe,96.17,True,
187941,Ridgefield,16.45,True,
187942,Danbury,5.46,True,
187943,New Fairfield,8.63,True,
187944,Sherman,12.5,True,
187945,Weston,13.88,True,
187946,Easton,27.69,True,
187947,Bethel,21.38,True,
187948,Fairfield,30.27,True,
187949,Redding,23.5,True,
187950,Colebrook,26.47,True,
187951,Barkhamsted,19.66,True,
187952,Winchester,8.82,True,
187953,Norfolk,39.02,True,
187954,New Hartford,15.7,True,
187955,Torrington,7.61,True,
187956,Goshen,30.53,True,
187957,Litchfield,16.88,True,
187958,Harwinton,13.33,True,
187959,Plymouth,15.79,True,
187960,Watertown,11.14,True,
187961,Morris,22.62,True,
187962,Bethlehem,22.89,True,
187963,Warren,26.32,True,
187964,Washington,32.03,True,
187965,Woodbury,14.35,True,
187966,Roxbury,41.05,True,
187967,Bridgewater,22.09,True,
187968,New Milford,16.67,True,
187969,Kent,35.43,True,
187970,Cornwall,32.2,True,
187971,Sharon,29.08,True,
187972,Canaan,27.66,True,
187973,North Canaan,24.71,True,
187974,Salisbury,18.49,True,
187975,Sterling,17.39,True,
187976,Plainfield,21.45,True,
187977,Canterbury,21.11,True,
187978,Scotland,22.73,True,
187979,Windham,9.65,True,
187982,Brooklyn,24.82,True,
187983,Killingly,12.18,True,
187984,Putnam,18.78,True,
187985,Pomfret,17.39,True,
187986,Eastford,25.81,True,
187987,Ashford,17.32,True,
187988,Woodstock,15.28,True,
187990,Lyme,27.27,True,
187991,Old Lyme,13.09,True,
187992,East Lyme,10.02,True,
187993,Montville,20.9,True,
187994,Salem,25.89,True,
187995,Bozrah,27.16,True,
187997,Lebanon,16.99,True,
187998,Franklin,49.15,True,
187999,Sprague,27.14,True,
188000,Ledyard,7.89,True,
188003,North Stonington,25.0,True,
188004,Voluntown,13.33,True,
188005,Waterford,12.73,True,
188006,Portland,15.31,True,
188007,Middlefield,36.36,True,
188008,Durham,24.08,True,
188009,Haddam,10.57,True,
188010,East Haddam,12.37,True,
188011,Killingworth,16.55,True,
188012,Chester,20.39,True,
188013,Deep River,12.93,True,
188014,Essex,11.23,True,
188015,Clinton,11.88,True,
188016,Westbrook,16.06,True,
188017,Old Saybrook,20.41,True,
188018,Union,41.67,True,
188019,Stafford,12.59,True,
188020,Ellington,11.26,True,
188021,Willington,20.0,True,
188022,Bolton,22.31,True,
188023,Mansfield,13.96,True,
188024,Coventry,12.58,True,
188025,Andover,32.31,True,
188026,Columbia,22.45,True,
188027,Hebron,17.42,True,
188028,East Windsor,23.53,True,
188029,South Windsor,5.05,True,
188030,Marlborough,15.2,True,
188031,Colchester,9.18,True,
188032,Hampton,14.29,True,
188750,Hartland,37.88,True,
192105,Orange,32.74,True,
227776,Chaplin,14.1,True,
229063,Thompson,11.21,True,
2419,New Haven,7.82,True,
2424,West Haven,16.98,True,
2426,North Haven,16.95,True,
2432,East Haven,14.19,True,
2435,Hamden,8.82,True,
2443,Stamford,11.55,True,
2449,Darien,14.89,True,
2452,Hartford,6.45,True,
2456,Greenwich,7.99,True,
2458,Norwalk,16.0,True,
2462,Westport,15.1,True,
2467,Brookfield,8.66,True,
2501,Norwich,8.46,True,
2505,Groton,17.48,True,
2509,New London,9.12,True,
2534,Stonington,17.57,True,
2552,Meriden,7.02,True,
2553,Rocky Hill,24.18,True,
2558,Middletown,9.92,True,
2560,Waterbury,8.48,True,
2565,Wallingford,14.71,True,
2574,Thomaston,13.87,True,
