Date,Town,Number,Status,Strava
2021-05-01,Monroe,1,Complete,https://www.strava.com/activities/5225530077
2021-05-01,Trumbull,2,Complete,https://www.strava.com/activities/5225530077
2021-05-02,Hamden,3,Complete,https://www.strava.com/activities/5232520602
2021-05-02,New Haven,4,Complete,https://www.strava.com/activities/5232520602
2021-05-08,Bridgeport,5,Started,https://www.strava.com/activities/5263540033
2021-05-10,Cheshire,6,Complete,https://www.strava.com/activities/5275101408
2021-05-10,Southington,7,Complete,https://www.strava.com/activities/5275101408
2021-05-22,Suffield,8,Started,https://www.strava.com/activities/5341482211
2021-05-22,East Granby,9,Complete,https://www.strava.com/activities/5341482211
2021-05-22,Granby,10,Started,https://www.strava.com/activities/5341482211
2021-05-22,Simsbury,11,Complete,https://www.strava.com/activities/5341482211
2021-05-22,Avon,12,Complete,https://www.strava.com/activities/5341482211
2021-05-22,Farmington,13,Complete,https://www.strava.com/activities/5341482211
2021-05-22,Plainville,14,Started,https://www.strava.com/activities/5341482211
2021-05-29,Woodbridge,15,Started,https://www.strava.com/activities/5377192280
2021-05-29,Woodbridge,15,Complete,https://www.strava.com/activities/5379787313
2021-05-29,Ansonia,16,Complete,https://www.strava.com/activities/5379787313
2021-05-29,Derby,17,Started,https://www.strava.com/activities/5379787313
2021-05-29,Shelton,18,Started,https://www.strava.com/activities/5379787313
2021-05-30,Shelton,18,Complete,https://www.strava.com/activities/5386208201
2021-06-17,Newtown,19,Complete,https://www.strava.com/activities/5486347966
2021-07-14,Easton,20,Complete,https://www.strava.com/activities/5625973086
2021-07-14,Redding,21,Started,https://www.strava.com/activities/5625973086
2021-07-17,Redding,21,Complete,https://www.strava.com/activities/5642505264
2021-07-17,Ridgefield,22,Complete,https://www.strava.com/activities/5642505264
2021-07-18,Brookfield,23,Complete,https://www.strava.com/activities/5649921914
2021-07-22,Bridgewater,24,Complete,https://www.strava.com/activities/5671839560
2021-07-22,Roxbury,25,Started,https://www.strava.com/activities/5671839560
2021-07-22,New Milford,26,Complete,https://www.strava.com/activities/5671839560
2021-07-24,Bethel,27,Started,https://www.strava.com/activities/5679854704
2021-07-24,Danbury,28,Complete,https://www.strava.com/activities/5679854704
2021-07-26,Bridgeport,5,Complete,https://www.strava.com/activities/5690803830
2021-07-26,Stratford,29,Started,https://www.strava.com/activities/5690803830
2021-07-26,Stratford,29,Complete,https://www.strava.com/activities/5692211800
2021-07-28,New Fairfield,30,Complete,https://www.strava.com/activities/5703456919
2021-08-07,Fairfield,31,Complete,https://www.strava.com/activities/5753647265
2021-08-07,Westport,32,Complete,https://www.strava.com/activities/5753647265
2021-08-07,Weston,33,Complete,https://www.strava.com/activities/5753647265
2021-08-08,Sherman,34,Complete,https://www.strava.com/activities/5758653768
2021-08-10,Stonington,35,Started,https://www.strava.com/activities/5771945903
2021-08-10,North Stonington,36,Started,https://www.strava.com/activities/5771945903
2021-08-13,Sterling,37,Started,https://www.strava.com/activities/5787285827
2021-08-13,Plainfield,38,Started,https://www.strava.com/activities/5787285827
2021-08-15,Southbury,39,Started,https://www.strava.com/activities/5798553872
2021-08-15,Oxford,40,Complete,https://www.strava.com/activities/5798553872
2021-08-15,Middlebury,41,Started,https://www.strava.com/activities/5798553872
