x,y,z,pct_inside,center_lat,center_lon,towns,ruling
4873,6126,14,0.0,41.269549,-72.91626,New Haven,
4900,6126,14,0.0,41.269549,-72.322998,Old Lyme,out
4840,6133,14,0.01,41.153842,-73.641357,Stamford,out
4845,6130,14,0.08,41.203456,-73.531494,New Canaan,
4837,6139,14,0.1,41.054501,-73.707275,Greenwich,out
4852,6078,14,0.11,42.05745,-73.377686,Salisbury,out
4922,6123,14,0.14,41.319075,-71.8396,Stonington,out
4842,6143,14,0.15,40.988191,-73.597412,Greenwich,out
4882,6128,14,0.15,41.236511,-72.718506,Guilford,out
4915,6124,14,0.26,41.302571,-71.993408,Groton,
4897,6079,14,0.28,42.041133,-72.388916,Stafford; Somers,
4846,6088,14,0.3,41.894099,-73.509521,Sharon,
4845,6104,14,0.35,41.631867,-73.531494,Sherman,out
4904,6125,14,0.42,41.286062,-72.235107,East Lyme,out
4845,6127,14,0.49,41.253032,-73.531494,Ridgefield,
4883,6128,14,0.54,41.236511,-72.696533,Guilford,
4866,6131,14,0.79,41.186922,-73.070068,Milford,
4865,6133,14,0.85,41.153842,-73.092041,Stratford,
4847,6078,14,1.32,42.05745,-73.487549,Salisbury,out
4890,6079,14,1.48,42.041133,-72.542725,Enfield,out
4844,6119,14,1.55,41.385051,-73.553467,Danbury,out
4879,6127,14,1.58,41.253032,-72.784424,Branford,
4852,6139,14,1.62,41.054501,-73.377686,Norwalk,out
4848,6140,14,1.87,41.03793,-73.465576,Darien,
4896,6079,14,2.07,42.041133,-72.410889,Somers,
4885,6079,14,2.11,42.041133,-72.652588,Suffield,out
4871,6128,14,2.22,41.236511,-72.960205,West Haven,
4837,6135,14,2.34,41.120745,-73.707275,Greenwich,
4880,6128,14,2.44,41.236511,-72.762451,Branford,out
4851,6078,14,2.64,42.05745,-73.399658,Salisbury,
4875,6128,14,2.7,41.236511,-72.872314,East Haven,
4846,6141,14,2.98,41.021355,-73.509521,Stamford,
4896,6126,14,3.1,41.269549,-72.410889,Old Saybrook; Westbrook,
4870,6129,14,3.15,41.219985,-72.982178,Milford,
4874,6128,14,3.22,41.236511,-72.894287,East Haven,
4917,6123,14,3.27,41.319075,-71.949463,Stonington,out
4842,6132,14,3.51,41.170384,-73.597412,Stamford,
4892,6127,14,3.59,41.253032,-72.498779,Clinton,
