"Town1","Town2","crossed"
"Andover","Bolton",TRUE
"Andover","Columbia",TRUE
"Andover","Coventry",TRUE
"Andover","Hebron",TRUE
"Ansonia","Derby",TRUE
"Ansonia","Seymour",TRUE
"Ansonia","Woodbridge",TRUE
"Ashford","Chaplin",TRUE
"Ashford","Eastford",TRUE
"Ashford","Mansfield",TRUE
"Ashford","Union",TRUE
"Ashford","Willington",TRUE
"Avon","Bloomfield",TRUE
"Avon","Burlington",TRUE
"Avon","Canton",TRUE
"Avon","Farmington",TRUE
"Avon","Simsbury",TRUE
"Avon","West Hartford",TRUE
"Barkhamsted","Canton",TRUE
"Barkhamsted","Colebrook",TRUE
"Barkhamsted","Granby",TRUE
"Barkhamsted","Hartland",TRUE
"Barkhamsted","New Hartford",TRUE
"Barkhamsted","Torrington",FALSE
"Barkhamsted","Winchester",TRUE
"Beacon Falls","Bethany",TRUE
"Beacon Falls","Naugatuck",TRUE
"Beacon Falls","Oxford",TRUE
"Beacon Falls","Seymour",TRUE
"Berlin","Cromwell",TRUE
"Berlin","Meriden",TRUE
"Berlin","Middletown",TRUE
"Berlin","New Britain",TRUE
"Berlin","Newington",FALSE
"Berlin","Rocky Hill",TRUE
"Berlin","Southington",TRUE
"Bethany","Cheshire",FALSE
"Bethany","Hamden",TRUE
"Bethany","Naugatuck",FALSE
"Bethany","Prospect",TRUE
"Bethany","Seymour",TRUE
"Bethany","Woodbridge",TRUE
"Bethel","Brookfield",TRUE
"Bethel","Danbury",TRUE
"Bethel","Newtown",TRUE
"Bethel","Redding",TRUE
"Bethlehem","Morris",TRUE
"Bethlehem","Washington",TRUE
"Bethlehem","Watertown",TRUE
"Bethlehem","Woodbury",TRUE
"Bloomfield","East Granby",TRUE
"Bloomfield","Hartford",TRUE
"Bloomfield","Simsbury",TRUE
"Bloomfield","West Hartford",TRUE
"Bloomfield","Windsor",TRUE
"Bolton","Coventry",TRUE
"Bolton","Glastonbury",FALSE
"Bolton","Hebron",TRUE
"Bolton","Manchester",TRUE
"Bolton","Vernon",TRUE
"Bozrah","Colchester",FALSE
"Bozrah","Franklin",TRUE
"Bozrah","Lebanon",TRUE
"Bozrah","Montville",TRUE
"Bozrah","Norwich",TRUE
"Bozrah","Salem",FALSE
"Branford","East Haven",TRUE
"Branford","Guilford",TRUE
"Branford","North Branford",TRUE
"Bridgeport","Fairfield",TRUE
"Bridgeport","Stratford",TRUE
"Bridgeport","Trumbull",TRUE
"Bridgewater","Brookfield",TRUE
